Symbol,Tipo,Fecha,Precio_Entrada,Stop_Loss_Inicial,Precio_Salida,Resultado,PnL_Absoluto,Retorno_Pct,Comision_Total,Descripcion,Fecha de operacion,Precio,Stop_loss,Nuevo_SL
NVDA,ACT_SL,2022-03-21 00:00:00,N/A,20.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.23
NVDA,ACT_SL,2022-03-28 00:00:00,N/A,21.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.67
NVDA,VENTA StopLoss,2022-04-11 00:00:00,22.8,21.67,21.22,Cerrada,-47703.36,-6.93,0,N/A,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: Stoch Mid Cruce & Ascendente),2022-05-02 00:00:00,18.64,13.98,N/A
NVDA,VENTA EMA Lenta Descendente (Filtro),2022-05-09 00:00:00,18.64,N/A,17.67,Cerrada,-33206.98,-5.2,0,Cierre tecnico,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2023-01-23 00:00:00,20.34,15.26,N/A
NVDA,ACT_SL,2023-01-30 00:00:00,N/A,15.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.45
NVDA,ACT_SL,2023-02-06 00:00:00,N/A,16.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.25
NVDA,ACT_SL,2023-02-13 00:00:00,N/A,17.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.27
NVDA,ACT_SL,2023-02-20 00:00:00,N/A,17.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.9
NVDA,ACT_SL,2023-02-27 00:00:00,N/A,17.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.91
NVDA,ACT_SL,2023-03-06 00:00:00,N/A,17.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.32
NVDA,ACT_SL,2023-03-13 00:00:00,N/A,18.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.78
NVDA,ACT_SL,2023-03-20 00:00:00,N/A,19.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.68
NVDA,ACT_SL,2023-03-27 00:00:00,N/A,20.68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.86
NVDA,ACT_SL,2023-04-03 00:00:00,N/A,20.86,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.98
NVDA,ACT_SL,2023-04-17 00:00:00,N/A,20.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.07
